34,M-DMITROVSKAYA, 55.807560, 37.579590,37463.9764700, 49, 1, 6, 0, 12632256,Метро Дмитровская, 0, 0, 0, 554, 7, 0,17,0,10.0,2,,,
171,M-DOBRYNINSKAYA, 55.728860, 37.623560,37463.9764700, 49, 1, 6, 0, 12632256,Метро Добрынинская, 0, 0, 0, 436, 7, 0,17,0,10.0,2,,,
172,M-DOMODEDOVSKAYA, 55.610090, 37.716120,37463.9764700, 49, 1, 6, 0, 12632256,Метро Домодедовская, 0, 0, 0, 584, 7, 0,17,0,10.0,2,,,
174,M-DOSTOEVSKAYA, 55.782438, 37.612747,38372.4909979, 38, 1, 6, 0, 13158342,Метро Достоевская (стр.), 0, 0, 0, 518, 7, 0,17,0,10.0,2,,,
291,M-DUBROVKA, 55.719732, 37.676915,38372.7368423, 49, 1, 6, 0, 12632256,Метро Дубровка, 0, 0, 0, 476, 7, 0,17,0,10.0,2,,,
173,M-ELEKTZAVODSKAYA, 55.781770, 37.704710,37463.9764800, 49, 1, 6, 0, 12632256,Метро Электрозаводская, 0, 0, 0, 423, 7, 0,17,0,10.0,2,,,
134,M-ENTUZIASTOV SHOSSE, 55.758370, 37.751550,37463.9765700, 49, 1, 6, 0, 12632256,Метро Шоссе энтузиастов, 0, 0, 0, 482, 7, 0,17,0,10.0,2,,,
39,M-FILEPARK, 55.739530, 37.483660,37463.9764800, 49, 1, 6, 0, 12632256,Метро Филевский парк, 0, 0, 0, 469, 7, 0,17,0,10.0,2,,,
40,M-FILI, 55.746730, 37.513840,37463.9764800, 49, 1, 6, 0, 12632256,Метро Фили, 0, 0, 0, 443, 7, 0,17,0,10.0,2,,,
41,M-FRUNZENSKAYA, 55.727180, 37.580360,37463.9764800, 49, 1, 6, 0, 12632256,Метро Фрунзенская, 0, 0, 0, 443, 7, 0,17,0,10.0,2,,,
177,M-IZMAILOVSKAYA, 55.787680, 37.783290,37463.9764800, 49, 1, 6, 0, 12632256,Метро Измайловская, 0, 0, 0, 502, 7, 0,17,0,10.0,2,,,
270,M-JANGELIA, 55.596141, 37.599810,38372.5857832, 38, 1, 6, 0, 13158342,Метро Улица Академика Янгеля (стр.), 0, 0, 0, 568, 7, 0,17,0,10.0,2,,,
43,M-KAHOVSKAYA, 55.653320, 37.597220,37463.9764800, 49, 1, 6, 0, 12632256,Метро Каховская, 0, 0, 0, 623, 7, 0,17,0,10.0,2,,,
44,M-KALUZHSKAYA, 55.655660, 37.539230,37463.9764800, 49, 1, 6, 0, 12632256,Метро Калужская, 0, 0, 0, 656, 7, 0,17,0,10.0,2,,,
